a,1,阿啊呵腌吖锕
a,2,啊呵嗄
a,3,啊呵
a,4,啊呵
a,5,阿啊呵
ai,1,哀挨埃唉哎捱锿
ai,2,呆挨癌皑捱
ai,3,矮哎蔼霭嗳
ai,4,爱碍艾唉哎隘暧嗳瑷嗌嫒砹
an,1,安谙鞍氨庵桉鹌广厂
an,3,俺铵揞埯
an,4,案按暗岸黯胺犴
ang,1,肮
ang,2,昂
ang,4,盎
ao,1,熬凹
ao,2,熬敖嚣嗷鏖鳌翱獒聱螯廒遨
ao,3,袄拗媪
ao,4,奥澳傲懊坳拗骜岙鏊
ba,1,八吧巴叭芭扒疤笆粑岜捌
ba,2,八拔跋茇菝魃
ba,3,把靶钯
ba,4,把爸罢霸坝耙灞鲅
ba,5,吧罢
bai,1,掰
bai,2,白
bai,3,百摆伯柏佰捭
bai,4,败拜呗稗
ban,1,般班搬斑颁扳瘢癍
ban,3,版板阪坂钣舨
ban,4,办半伴扮瓣拌绊
bang,1,帮邦浜梆
bang,3,膀榜绑
bang,4,棒膀傍磅谤镑蚌蒡
bao,1,包胞炮剥褒苞孢煲龅
bao,2,薄雹
bao,3,保宝饱堡葆褓鸨
bao,4,报暴抱爆鲍曝刨瀑豹趵
bei,1,背悲杯碑卑陂埤萆鹎
bei,3,北
bei,4,被备背辈倍贝蓓惫悖狈焙邶钡孛碚褙鐾鞴
bei,5,臂呗
ben,1,奔贲锛
ben,3,本苯畚
ben,4,奔笨夯坌
beng,1,崩绷嘣
beng,2,甭
beng,3,绷
beng,4,绷蹦迸甏泵蚌
bi,1,逼
bi,2,鼻荸
bi,3,比笔彼鄙匕俾妣吡秕舭
bi,4,必毕币秘避闭壁臂弊辟碧拂毙蔽庇璧敝泌陛弼篦婢愎痹铋裨濞髀庳毖滗蓖埤芘嬖荜贲畀萆薜筚箅哔襞跸狴
bian,1,编边鞭砭煸蝙笾鳊
bian,3,贬扁匾碥窆褊
bian,4,便变遍辩辨辫卞苄汴忭弁缏
bian,5,边
biao,1,标彪勺镖膘骠镳杓飚飑飙瘭髟
biao,3,表裱婊
biao,4,鳔
bie,1,憋瘪鳖
bie,2,别蹩
bie,3,瘪
bie,4,别
bin,1,宾滨彬斌缤濒槟傧玢豳镔
bin,4,鬓殡摈膑髌
bing,1,并兵冰槟
bing,3,饼屏丙柄秉炳禀邴
bing,4,并病摒
bo,1,般波播拨剥玻饽菠钵趵
bo,2,百博伯勃薄泊柏驳魄脖搏膊舶礴帛铂箔渤钹孛亳鹁踣
bo,3,簸跛
bo,4,薄柏簸掰擘檗
bo,5,卜啵
bu,1,逋晡钸
bu,2,不醭
bu,3,补捕堡卜哺卟
bu,4,不部布步怖簿埔埠瓿钚
ca,1,擦拆嚓
ca,3,礤
cai,1,猜
cai,2,才财材裁
cai,3,采彩踩睬
cai,4,采菜蔡
can,1,参餐骖
can,2,残惭蚕
can,3,惨黪
can,4,惨灿掺璨孱粲
cang,1,苍仓沧舱伧
cang,2,藏
cao,1,操糙
cao,2,曹槽嘈漕螬艚
cao,3,草
ce,4,策测侧厕册恻
cen,1,参
cen,2,岑涔
ceng,1,噌
ceng,2,曾层
ceng,4,蹭
cha,1,差插叉碴喳嚓杈馇锸
cha,2,查察茶叉茬碴楂猹搽槎檫
cha,3,叉衩镲
cha,4,差刹叉诧岔衩杈汊姹
chai,1,差拆钗
chai,2,柴豺侪
chai,4,虿瘥
chan,1,搀掺觇
chan,2,单缠禅蝉馋潺蟾婵谗廛孱镡澶躔
chan,3,产铲阐谄冁蒇骣
chan,4,颤忏羼
chang,1,昌娼猖伥阊菖鲳
chang,2,长场常尝肠偿倘裳嫦徜苌
chang,3,场厂敞氅昶惝
chang,4,唱畅倡怅鬯
chao,1,超抄吵钞绰剿焯怊
chao,2,朝潮嘲巢晁
chao,3,炒吵
chao,4,耖
che,1,车砗
che,3,尺扯
che,4,彻撤澈掣坼
chen,1,郴琛嗔抻
chen,2,陈沉晨沈尘臣辰橙忱谌宸
chen,3,碜
chen,4,称趁衬秤谶榇龀
chen,5,伧
cheng,1,称撑秤瞠噌铛柽蛏
cheng,2,成城程承诚盛乘呈惩澄橙丞埕枨塍铖裎酲
cheng,3,逞骋裎
cheng,4,称秤
chi,1,吃痴哧嗤蚩笞鸱媸螭眵魑
chi,2,持迟池驰匙弛踟墀茌篪坻
chi,3,尺齿耻侈褫豉
chi,4,赤斥翅啻炽敕叱饬傺彳瘛
chong,1,冲充涌憧忡艟舂茺
chong,2,种重崇虫
chong,3,宠
chong,4,冲铳
chou,1,抽瘳
chou,2,愁仇筹酬绸踌惆畴稠帱俦雠
chou,3,丑瞅
chou,4,臭
chu,1,出初樗
chu,2,除厨躇橱雏锄蜍刍滁蹰
chu,3,处楚储础杵褚楮
chu,4,处触畜矗怵搐绌黜亍憷
chuai,1,揣搋
chuai,3,揣
chuai,4,揣啜踹嘬膪
chuan,1,穿川巛氚
chuan,2,传船遄椽舡
chuan,3,喘舛
chuan,4,串钏
chuang,1,创窗疮
chuang,2,床幢
chuang,3,闯
chuang,4,创怆
chui,1,吹炊
chui,2,垂锤捶陲椎槌棰
chun,1,春椿蝽
chun,2,纯唇醇淳鹑莼
chun,3,蠢
chuo,1,戳踔
chuo,4,绰啜辍龊
ci,1,差刺疵呲
ci,2,词辞慈磁瓷兹茨雌祠茈鹚糍
ci,3,此
ci,4,次刺赐伺
cong,1,从匆聪葱囱苁骢璁枞
cong,2,从丛琮淙
cou,4,凑楱辏腠
cu,1,粗
cu,2,徂殂
cu,4,促簇醋卒猝蹴蹙蔟酢
cuan,1,蹿撺汆镩
cuan,2,攒
cuan,4,窜篡爨
cui,1,衰催摧崔隹榱
cui,3,璀
cui,4,脆粹萃翠瘁悴淬毳啐
cun,1,村皴
cun,2,存蹲
cun,3,忖
cun,4,寸
cuo,1,搓撮磋蹉
cuo,2,嵯矬痤瘥鹾
cuo,3,撮脞
cuo,4,错措挫厝锉
da,1,答搭嗒耷褡哒
da,2,打达答瘩沓鞑怛笪靼妲
da,3,打
da,4,大
da,5,塔疸
dai,1,待呆呔
dai,3,逮歹傣
dai,4,大代带待戴袋贷逮殆黛怠玳岱迨骀绐埭甙
dan,1,单担丹耽眈殚箪儋瘅聃郸
dan,3,担胆掸赕疸瘅
dan,4,但担石弹淡旦蛋诞惮啖澹氮萏瘅
dang,1,当裆铛
dang,3,党挡谠
dang,4,当荡档挡宕菪凼砀
dao,1,刀叨忉氘
dao,2,叨
dao,3,导倒岛蹈捣祷
dao,4,到道倒悼盗稻焘帱纛
de,2,得德锝
de,5,的地得底
dei,3,得
deng,1,登灯蹬噔簦
deng,3,等戥
deng,4,邓凳瞪澄蹬磴镫嶝
di,1,提低滴堤嘀氐镝羝
di,2,的敌迪笛涤嘀狄嫡翟荻籴觌镝
di,3,底抵诋邸砥坻柢氐骶
di,4,的地第帝弟递蒂缔谛睇棣娣碲绨
dia,3,嗲
dian,1,颠滇掂癫巅
dian,3,点典碘踮丶
dian,4,电店甸淀垫殿奠惦佃玷簟坫靛钿癜阽
diao,1,雕刁凋叼貂碉鲷
diao,3,鸟
diao,4,调掉吊钓铫铞
die,1,爹跌踮
die,2,叠迭碟谍蝶喋佚牒耋蹀堞瓞揲垤鲽
ding,1,丁盯钉叮町酊疔仃耵玎
ding,3,顶鼎酊
ding,4,定订钉铤腚锭碇啶
diu,1,丢铥
dong,1,东冬咚岽氡鸫
dong,3,懂董硐
dong,4,动洞冻栋恫侗垌峒胨胴硐
dou,1,都兜蔸篼
dou,3,斗抖陡蚪
dou,4,读斗豆逗窦痘
du,1,都督嘟
du,2,读独顿毒渎牍犊黩髑椟
du,3,肚睹堵赌笃
du,4,度渡肚杜妒镀芏蠹
duan,1,端
duan,3,短
duan,4,断段锻缎煅椴簖
dui,1,堆
dui,4,对队兑敦碓憝怼镦
dun,1,吨敦蹲墩礅镦
dun,3,盹趸
dun,4,顿盾钝炖遁沌囤砘
duo,1,多咄哆掇裰
duo,2,度夺踱铎
duo,3,朵躲垛哚缍
duo,4,舵堕跺剁惰垛驮沲柁
e,1,阿婀屙
e,2,额俄哦鹅娥峨蛾讹莪锇
e,3,恶
e,4,恶饿扼愕遏噩呃厄鄂轭颚鳄谔锷萼腭垩鹗苊阏
e,5,呃
ei,2,诶
ei,3,诶
ei,4,诶
en,1,恩蒽
en,4,摁
er,2,而儿鸸鲕
er,3,尔耳迩饵洱珥铒
er,4,二贰佴
fa,1,发
fa,2,罚乏伐阀筏垡
fa,3,法砝
fa,4,发珐
fan,1,翻番帆藩幡蕃
fan,2,凡烦繁泛樊蕃燔矾蘩钒蹯
fan,3,反返
fan,4,饭犯范贩泛梵畈
fang,1,方芳妨坊邡枋钫
fang,2,房防妨坊肪鲂
fang,3,访仿纺彷舫
fang,4,放
fei,1,非飞啡菲扉霏妃绯蜚鲱
fei,2,肥腓淝
fei,3,菲匪诽斐蜚翡悱篚榧
fei,4,费废沸肺吠痱狒镄芾
fen,1,分纷氛芬吩酚玢
fen,2,坟焚汾棼鼢
fen,3,粉
fen,4,分份奋愤粪忿偾瀵鲼
feng,1,风封丰峰疯锋蜂枫烽酆葑沣砜
feng,2,逢缝冯
feng,3,讽唪
feng,4,奉缝凤俸葑
fo,2,佛
fou,3,否缶
fu,1,夫肤敷孵呋稃麸趺跗
fu,2,夫服福佛幅伏符浮扶弗拂袱俘芙孚匐辐涪氟桴蜉苻茯莩菔幞怫艴郛绂绋凫祓砩黻罘稃蚨芾蝠
fu,3,府父腐抚辅甫俯斧脯釜腑拊滏黼
fu,4,服复父负副富付妇附赴腹覆赋傅缚咐阜讣驸赙馥蝮鲋鳆
fu,5,咐
ga,1,夹咖嘎胳伽旮
ga,2,嘎噶轧尜钆
ga,3,嘎尕
ga,4,尬
gai,1,该赅垓陔
gai,3,改
gai,4,概盖丐钙芥溉戤
gan,1,干甘肝杆尴乾竿坩苷柑泔矸疳酐
gan,3,感敢赶杆橄秆擀澉
gan,4,干赣淦绀旰
gang,1,刚钢纲缸扛杠冈肛罡
gang,3,港岗
gang,4,钢杠戆筻
gao,1,高糕膏皋羔睾篙槔
gao,3,稿搞藁槁缟镐杲
gao,4,告膏诰郜锆
ge,1,歌格哥戈割胳搁疙咯鸽屹仡圪纥袼
ge,2,革格隔葛阁胳搁蛤嗝骼颌搿膈镉塥鬲
ge,3,个各合盖葛哿舸
ge,4,个各铬硌虼
gei,3,给
gen,1,根跟
gen,2,哏
gen,3,艮
gen,4,亘艮茛
geng,1,更耕庚羹赓
geng,3,耿颈梗哽鲠埂绠
geng,4,更
gong,1,工公共红供功攻宫恭躬龚弓肱蚣觥
gong,3,巩拱汞珙
gong,4,共供贡
gou,1,句沟勾钩篝佝枸缑鞲
gou,3,狗苟岣枸笱
gou,4,够购构勾觏垢诟媾遘彀
gu,1,姑骨孤估辜咕呱箍沽菇轱鸪毂菰蛄酤觚
gu,2,骨
gu,3,古股鼓骨谷贾汩蛊毂鹄牯臌诂瞽罟钴嘏蛄鹘
gu,4,故顾固估雇锢梏牿崮痼鲴
gua,1,括瓜刮呱栝胍鸹
gua,3,寡呱剐
gua,4,挂褂卦诖
guai,1,乖掴
guai,3,拐
guai,4,怪
guan,1,关观官冠棺矜莞倌纶鳏
guan,3,管馆莞
guan,4,观惯冠贯罐灌掼盥涫鹳
guang,1,光咣胱桄
guang,3,广犷
guang,4,逛桄
gui,1,规归瑰龟硅闺皈傀圭妫鲑
gui,3,鬼轨诡癸匦庋宄晷簋
gui,4,贵桂跪柜刽炔刿桧炅鳜
gun,3,滚鲧衮绲磙辊
gun,4,棍
guo,1,过锅郭涡聒蝈崞埚呙
guo,2,国帼掴馘虢
guo,3,果裹猓椁蜾
guo,4,过
ha,1,哈铪
ha,2,虾蛤
ha,3,哈
ha,4,哈
hai,1,嘿咳嗨
hai,2,还孩骸
hai,3,海胲醢
hai,4,害亥骇氦
han,1,酣憨顸鼾蚶
han,2,含寒汗韩涵函晗焓邯邗
han,3,喊罕阚
han,4,汉汗憾翰撼旱捍悍瀚焊颔菡撖
hang,1,夯
hang,2,行航吭杭绗珩颃
hang,4,行巷沆
hao,1,蒿薅嚆
hao,2,号毫豪嚎壕貉嗥濠蚝
hao,3,好郝
hao,4,好号浩耗皓昊灏镐颢
he,1,喝呵诃嗬
he,2,和何合河核盒禾荷阂涸阖貉曷颌劾菏盍纥蚵翮
he,4,和何喝赫吓贺荷鹤壑褐
hei,1,黑嘿嗨
hen,2,痕
hen,3,很狠
hen,4,恨
heng,1,哼亨
heng,2,行横衡恒蘅珩桁
heng,4,横
hng,5,哼
hong,1,轰哄烘薨訇
hong,2,红洪鸿宏虹弘泓闳蕻黉荭
hong,3,哄
hong,4,哄讧蕻
hou,2,侯喉猴瘊篌糇骺
hou,3,吼
hou,4,后候後厚侯逅堠鲎
hu,1,乎呼戏忽糊惚唿滹轷烀
hu,2,和胡湖糊核壶狐葫弧蝴囫瑚斛鹄醐猢槲鹕觳煳鹘
hu,3,虎浒唬琥
hu,4,护户互糊虎沪祜扈戽笏岵怙瓠鹱冱
hua,1,华化花哗砉
hua,2,华划滑哗豁猾骅铧
hua,4,话华化划画桦
huai,2,怀徊淮槐踝
huai,4,坏
huai,5,划
huan,1,欢獾
huan,2,还环寰鬟桓圜洹郇缳锾萑
huan,3,缓
huan,4,换患幻唤宦焕痪涣浣奂擐豢漶逭鲩
huang,1,荒慌肓
huang,2,黄皇煌惶徨璜簧凰潢蝗蟥遑隍磺癀湟篁鳇
huang,3,晃恍谎幌
huang,4,晃
hui,1,挥辉灰恢徽堕诙晖麾珲咴虺隳
hui,2,回徊蛔茴洄
hui,3,毁悔虺
hui,4,会汇惠慧溃绘讳贿晦秽诲彗烩荟卉喙恚浍哕缋桧蕙蟪
hun,1,婚昏荤阍
hun,2,混魂浑馄珲
hun,4,混诨溷
huo,1,豁劐攉锪耠
huo,2,和活
huo,3,火伙夥钬
huo,4,和或获货祸惑霍豁藿嚯镬蠖
ji,1,其几期机基击奇激积鸡迹绩饥缉圾姬矶肌讥叽稽畸跻羁嵇唧畿齑箕屐剞玑赍犄墼芨丌咭笄乩
ji,2,革及即辑级极集急籍吉疾嫉藉脊棘汲岌笈瘠诘亟楫蒺殛佶戢嵴蕺
ji,3,几给己革济纪挤脊戟虮掎麂
ji,4,记系计济寄际技纪继既齐季寂祭忌剂冀妓骥蓟悸伎暨霁稷偈鲫髻觊荠跽哜鲚洎芰
jia,1,家加佳夹嘉茄挟枷珈迦伽浃痂笳葭镓袈跏
jia,2,夹颊戛荚郏恝铗袷蛱
jia,3,假角脚甲搅贾缴绞饺矫佼狡剿侥皎胛铰挢岬徼湫敫钾嘏瘕
jia,4,价假架驾嫁稼
jia,5,家
jian,1,间坚监渐兼艰肩浅尖奸溅煎歼缄笺菅蒹搛湔缣戋犍鹣鲣鞯
jian,3,简减检剪捡拣俭碱茧柬蹇謇硷睑锏枧戬谫囝裥笕翦趼
jian,4,见间件建监渐健剑键荐鉴践舰箭贱溅槛谏僭涧饯毽锏楗腱牮踺
jiang,1,将江疆姜浆僵缰茳礓豇
jiang,3,讲奖蒋桨耩
jiang,4,将强降酱浆虹匠犟绛洚糨
jiao,1,教交焦骄郊胶椒娇浇姣跤蕉礁鲛僬鹪蛟艽茭
jiao,2,嚼矫峤
jiao,3,角脚搅缴绞饺矫佼狡剿侥皎挢徼湫敫铰
jiao,4,教觉校叫较轿嚼窖酵噍峤徼醮
jie,1,接结节街阶皆揭楷嗟秸疖喈
jie,2,结节杰捷截洁劫竭睫桔拮孑诘桀碣偈颉讦婕羯鲒
jie,3,解姐
jie,4,界解价介借戒届藉诫芥疥蚧骱
jie,5,家价
jin,1,今金禁津斤筋巾襟矜衿
jin,3,尽仅紧谨锦瑾馑卺廑堇槿
jin,4,进近尽仅禁劲晋浸靳缙烬噤觐荩赆妗
jing,1,经京精惊睛晶荆兢鲸泾旌茎腈菁粳
jing,3,警景井颈憬阱儆刭肼
jing,4,经境竟静敬镜劲竞净径靖痉迳胫弪婧獍靓
jiong,1,扃
jiong,3,窘炯迥炅
jiu,1,究纠揪鸠赳啾阄鬏
jiu,3,九酒久韭灸玖
jiu,4,就旧救疚舅咎臼鹫僦厩桕柩
ju,1,车据且居俱拘驹鞠锯趄掬疽裾苴椐锔狙琚雎鞫
ju,2,局菊桔橘锔
ju,3,举柜矩咀沮踽龃榉莒枸
ju,4,据句具剧巨聚拒距俱惧沮瞿锯炬趄飓踞遽倨钜犋屦榘窭讵醵苣
juan,1,捐圈娟鹃涓镌蠲
juan,3,卷锩
juan,4,圈卷俊倦眷隽绢狷桊鄄
jue,1,嗟撅噘
jue,2,觉绝决角脚嚼掘诀崛爵抉倔獗厥蹶攫谲矍孓橛噱珏桷劂爝镢蕨觖
jue,3,蹶
jue,4,倔
jun,1,军均君钧筠龟菌皲麇
jun,4,俊峻隽菌郡骏竣捃浚
ka,1,咖喀咔
ka,3,卡咯咔佧胩
kai,1,开揩锎
kai,3,慨凯铠楷恺蒈剀垲锴
kai,4,忾
kan,1,看刊堪勘龛戡
kan,3,侃砍坎槛阚莰
kan,4,看嵌瞰阚
kang,1,康慷糠闶
kang,2,扛
kang,4,抗炕亢伉闶钪
kao,1,尻
kao,3,考烤拷栲
kao,4,靠铐犒
ke,1,科颗柯呵棵苛磕坷嗑瞌轲稞疴蝌钶窠颏珂髁
ke,2,咳壳颏
ke,3,可渴坷轲岢
ke,4,可克客刻课恪嗑溘骒缂氪锞蚵
ken,3,肯恳啃垦龈
ken,4,裉
keng,1,坑吭铿
kong,1,空倥崆箜
kong,3,恐孔倥
kong,4,空控
kou,1,抠芤眍
kou,3,口
kou,4,扣寇叩蔻筘
ku,1,哭枯窟骷刳堀
ku,3,苦
ku,4,库裤酷喾绔
kua,1,夸
kua,3,垮侉
kua,4,跨挎胯
kuai,3,蒯
kuai,4,会快块筷脍哙侩狯浍郐
kuan,1,宽髋
kuan,3,款
kuang,1,框筐匡哐诓
kuang,2,狂诳
kuang,3,夼
kuang,4,况矿框旷眶邝圹纩贶
kui,1,亏窥盔岿悝
kui,2,魁睽逵葵奎馗夔喹隗暌揆蝰
kui,3,傀跬
kui,4,愧溃馈匮喟聩篑蒉愦
kun,1,昆坤鲲锟醌琨髡
kun,3,捆悃阃
kun,4,困
kuo,4,括适阔扩廓栝蛞
la,1,拉啦喇垃邋
la,2,拉喇旯砬
la,3,拉喇
la,4,落拉辣腊蜡剌瘌
la,5,蓝啦
lai,2,来莱徕涞崃铼
lai,4,赖睐癞籁赉濑
lan,2,兰蓝栏拦篮澜婪岚斓阑褴镧谰
lan,3,懒览揽榄缆漤罱
lan,4,烂滥
lang,1,啷
lang,2,狼郎廊琅螂榔锒稂阆
lang,3,朗
lang,4,浪郎莨蒗阆
lao,1,捞
lao,2,劳牢唠崂铹痨醪
lao,3,老姥佬潦栳铑
lao,4,落络唠烙酪涝耢
le,1,肋
le,4,乐勒仂叻泐鳓
le,5,了
lei,1,勒擂
lei,2,累雷擂羸镭嫘缧檑
lei,3,累蕾垒磊儡诔耒
lei,4,类泪累擂肋酹
lei,5,嘞
leng,1,棱
leng,2,楞棱塄
leng,3,冷
leng,4,愣
li,1,哩
li,2,离丽黎璃漓狸梨篱犁厘罹藜骊蜊黧缡喱鹂嫠蠡鲡蓠
li,3,里理李礼哩鲤俚逦娌悝澧锂蠡醴鳢
li,4,力利立历例丽励厉莉笠粒俐栗隶吏沥雳莅戾俪砺痢郦詈荔枥呖唳猁溧砾栎轹傈坜苈疠疬蛎鬲篥粝跞藓
li,5,璃哩
lia,3,俩
lian,2,联连怜莲廉帘涟镰裢濂臁奁蠊鲢
lian,3,脸敛琏蔹裣
lian,4,练恋炼链殓楝潋
liang,2,量良梁凉粮粱踉莨椋墚
liang,3,两俩魉
liang,4,量亮辆凉谅晾踉靓
liao,1,撩撂
liao,2,聊疗辽僚寥撩撂缭寮燎嘹獠鹩
liao,3,了潦燎蓼钌
liao,4,了料廖镣撩撂尥钌
lie,1,咧
lie,3,裂咧
lie,4,列烈裂劣猎趔冽洌捩埒躐鬣
lie,5,咧
lin,2,林临秘邻琳淋霖麟鳞磷嶙辚粼遴啉瞵
lin,3,凛懔檩廪
lin,4,淋吝躏赁蔺膦
ling,1,拎
ling,2,令灵零龄凌玲铃陵伶聆囹棱菱苓翎棂瓴绫酃泠羚蛉柃鲮
ling,3,领令岭
ling,4,令另呤
liu,1,溜熘
liu,2,留流刘瘤榴浏硫琉遛馏镏旒骝鎏
liu,3,柳绺锍
liu,4,六陆溜碌遛馏镏鹨
lo,5,咯
long,1,隆
long,2,龙隆笼胧咙聋珑窿茏栊泷砻癃
long,3,笼拢垄陇垅
long,4,弄
lou,1,搂
lou,2,楼喽偻娄髅蝼蒌耧
lou,3,搂篓嵝
lou,4,露陋漏镂瘘
lou,5,喽
lu,1,噜撸
lu,2,卢炉庐芦颅泸轳鲈垆胪鸬舻栌
lu,3,鲁芦卤虏掳橹镥
lu,4,六路陆录露绿鹿碌禄辘麓赂漉戮簏鹭潞璐辂渌蓼逯
lu,5,轳氇
lv,3,旅履屡侣缕吕捋铝偻褛膂稆
lv,4,律绿率虑滤氯
lv,5,驴榈闾
luan,2,峦挛孪栾銮滦鸾娈脔
luan,3,卵
luan,4,乱
lue:,3,掠
lue:,4,略掠锊
lun,1,抡
lun,2,论轮伦沦仑抡囵纶
lun,4,论
luo,1,落罗捋
luo,2,罗逻萝螺锣箩骡猡椤脶镙
luo,3,裸倮蠃瘰
luo,4,落络洛骆咯摞烙珞泺漯荦硌雒
luo,5,罗
m,2,呒
ma,1,妈麻摩抹蚂嬷
ma,2,吗麻蟆
ma,3,马吗码玛蚂犸
ma,4,骂蚂唛杩
ma,5,么吗嘛
mai,2,埋霾
mai,3,买荬
mai,4,卖麦迈脉劢
man,1,颟
man,2,埋蛮馒瞒蔓谩鳗鞔
man,3,满螨
man,4,慢漫曼蔓谩墁幔缦熳镘
mang,2,忙茫盲芒氓邙硭
mang,3,莽蟒漭
mao,1,猫
mao,2,毛猫矛茅髦锚牦旄蝥蟊茆
mao,3,卯铆峁泖昴
mao,4,冒贸帽貌茂耄瑁懋袤瞀
me,5,么麽
mei,2,没眉梅媒枚煤霉玫糜酶莓嵋湄楣猸镅鹛
mei,3,美每镁浼
mei,4,妹魅昧谜媚寐袂
men,1,闷
men,2,门扪钔
men,4,闷懑焖
men,5,们
meng,1,蒙
meng,2,蒙盟朦氓萌檬瞢甍礞虻艨
meng,3,蒙猛勐懵蠓蜢锰艋
meng,4,梦孟
mi,1,眯咪
mi,2,迷弥谜靡糜醚麋猕祢縻蘼
mi,3,米眯靡弭敉脒芈
mi,4,密秘觅蜜谧泌汨宓幂嘧糸
mian,2,棉眠绵
mian,3,免缅勉腼冕娩渑湎沔眄黾
mian,4,面
miao,1,喵
miao,2,描苗瞄鹋
miao,3,秒渺藐缈淼杪邈眇
miao,4,妙庙缪
